"","country","year","series","value"
"413","Central African Republic",2017,"Tourist/visitor arrivals (thousands)",107
"414","Central African Republic",1995,"Tourism expenditure (millions of US dollars)",4
"415","Central African Republic",2005,"Tourism expenditure (millions of US dollars)",7.2
"416","Central African Republic",2010,"Tourism expenditure (millions of US dollars)",14.4
"417","Chad",2010,"Tourist/visitor arrivals (thousands)",71
"418","Chad",2016,"Tourist/visitor arrivals (thousands)",98
"419","Chad",2017,"Tourist/visitor arrivals (thousands)",87
"420","Chad",1995,"Tourism expenditure (millions of US dollars)",43
"421","Chile",1995,"Tourist/visitor arrivals (thousands)",1540
"422","Chile",2005,"Tourist/visitor arrivals (thousands)",2027
"423","Chile",2010,"Tourist/visitor arrivals (thousands)",2801
"424","Chile",2016,"Tourist/visitor arrivals (thousands)",5641
"425","Chile",2017,"Tourist/visitor arrivals (thousands)",6450
"426","Chile",2018,"Tourist/visitor arrivals (thousands)",5723
"427","Chile",1995,"Tourism expenditure (millions of US dollars)",1186
"428","Chile",2005,"Tourism expenditure (millions of US dollars)",1608
"429","Chile",2010,"Tourism expenditure (millions of US dollars)",2362
"430","Chile",2016,"Tourism expenditure (millions of US dollars)",3744
"431","Chile",2017,"Tourism expenditure (millions of US dollars)",4372
"432","Chile",2018,"Tourism expenditure (millions of US dollars)",3972
"433","China",1995,"Tourist/visitor arrivals (thousands)",20034
"434","China",2005,"Tourist/visitor arrivals (thousands)",46809
"435","China",2010,"Tourist/visitor arrivals (thousands)",55664
"436","China",2016,"Tourist/visitor arrivals (thousands)",59270
"437","China",2017,"Tourist/visitor arrivals (thousands)",60740
"438","China",2018,"Tourist/visitor arrivals (thousands)",62900
"439","China",1995,"Tourism expenditure (millions of US dollars)",8730
"440","China",2005,"Tourism expenditure (millions of US dollars)",29296
"441","China",2010,"Tourism expenditure (millions of US dollars)",45814
"442","China",2016,"Tourism expenditure (millions of US dollars)",44432
"443","China",2017,"Tourism expenditure (millions of US dollars)",38559
"444","China",2018,"Tourism expenditure (millions of US dollars)",40386
"445","China, Hong Kong SAR",2005,"Tourist/visitor arrivals (thousands)",14773
"446","China, Hong Kong SAR",2010,"Tourist/visitor arrivals (thousands)",20085
"447","China, Hong Kong SAR",2016,"Tourist/visitor arrivals (thousands)",26553
"448","China, Hong Kong SAR",2017,"Tourist/visitor arrivals (thousands)",27884
"449","China, Hong Kong SAR",2018,"Tourist/visitor arrivals (thousands)",29263
"450","China, Hong Kong SAR",2005,"Tourism expenditure (millions of US dollars)",13588
"451","China, Hong Kong SAR",2010,"Tourism expenditure (millions of US dollars)",27208
"452","China, Hong Kong SAR",2016,"Tourism expenditure (millions of US dollars)",37838
"453","China, Hong Kong SAR",2017,"Tourism expenditure (millions of US dollars)",38170
"454","China, Hong Kong SAR",2018,"Tourism expenditure (millions of US dollars)",41870
"455","China, Macao SAR",1995,"Tourist/visitor arrivals (thousands)",4202
"456","China, Macao SAR",2005,"Tourist/visitor arrivals (thousands)",9014
"457","China, Macao SAR",2010,"Tourist/visitor arrivals (thousands)",11926
"458","China, Macao SAR",2016,"Tourist/visitor arrivals (thousands)",15703.6
"459","China, Macao SAR",2017,"Tourist/visitor arrivals (thousands)",17255
"460","China, Macao SAR",2018,"Tourist/visitor arrivals (thousands)",18493
"461","China, Macao SAR",1995,"Tourism expenditure (millions of US dollars)",3233
"462","China, Macao SAR",2005,"Tourism expenditure (millions of US dollars)",7181
"463","China, Macao SAR",2010,"Tourism expenditure (millions of US dollars)",22688
"464","China, Macao SAR",2016,"Tourism expenditure (millions of US dollars)",31015
"465","China, Macao SAR",2017,"Tourism expenditure (millions of US dollars)",36465
"466","China, Macao SAR",2018,"Tourism expenditure (millions of US dollars)",40358
"467","Colombia",1995,"Tourist/visitor arrivals (thousands)",1399
"468","Colombia",2005,"Tourist/visitor arrivals (thousands)",933
"469","Colombia",2010,"Tourist/visitor arrivals (thousands)",1405
"470","Colombia",2016,"Tourist/visitor arrivals (thousands)",3254
"471","Colombia",2017,"Tourist/visitor arrivals (thousands)",3631
"472","Colombia",2018,"Tourist/visitor arrivals (thousands)",3904
"473","Colombia",1995,"Tourism expenditure (millions of US dollars)",887
"474","Colombia",2005,"Tourism expenditure (millions of US dollars)",1891
"475","Colombia",2010,"Tourism expenditure (millions of US dollars)",3441
"476","Colombia",2016,"Tourism expenditure (millions of US dollars)",5584
"477","Colombia",2017,"Tourism expenditure (millions of US dollars)",5882
"478","Colombia",2018,"Tourism expenditure (millions of US dollars)",6617
"479","Comoros",1995,"Tourist/visitor arrivals (thousands)",23
"480","Comoros",2005,"Tourist/visitor arrivals (thousands)",25.9
"481","Comoros",2010,"Tourist/visitor arrivals (thousands)",15.3
"482","Comoros",2016,"Tourist/visitor arrivals (thousands)",26.8
"483","Comoros",2017,"Tourist/visitor arrivals (thousands)",28
"484","Comoros",2018,"Tourist/visitor arrivals (thousands)",35.9
"485","Comoros",1995,"Tourism expenditure (millions of US dollars)",22
"486","Comoros",2005,"Tourism expenditure (millions of US dollars)",24.4
"487","Comoros",2010,"Tourism expenditure (millions of US dollars)",35.2
"488","Comoros",2016,"Tourism expenditure (millions of US dollars)",50.5
"489","Comoros",2017,"Tourism expenditure (millions of US dollars)",60.6
"490","Comoros",2018,"Tourism expenditure (millions of US dollars)",76.7
"491","Congo",2005,"Tourist/visitor arrivals (thousands)",35
"492","Congo",2010,"Tourist/visitor arrivals (thousands)",194
"493","Congo",2016,"Tourist/visitor arrivals (thousands)",211
"494","Congo",2017,"Tourist/visitor arrivals (thousands)",149
"495","Congo",2018,"Tourist/visitor arrivals (thousands)",156
"496","Congo",1995,"Tourism expenditure (millions of US dollars)",14.6691
"497","Congo",2010,"Tourism expenditure (millions of US dollars)",39
"498","Congo",2016,"Tourism expenditure (millions of US dollars)",42.9
"499","Cook Islands",1995,"Tourist/visitor arrivals (thousands)",48
"500","Cook Islands",2005,"Tourist/visitor arrivals (thousands)",88
"501","Cook Islands",2010,"Tourist/visitor arrivals (thousands)",104
"502","Cook Islands",2016,"Tourist/visitor arrivals (thousands)",146
"503","Cook Islands",2017,"Tourist/visitor arrivals (thousands)",161
"504","Cook Islands",2018,"Tourist/visitor arrivals (thousands)",169
"505","Cook Islands",1995,"Tourism expenditure (millions of US dollars)",28
"506","Cook Islands",2005,"Tourism expenditure (millions of US dollars)",91
"507","Cook Islands",2010,"Tourism expenditure (millions of US dollars)",111
"508","Cook Islands",2016,"Tourism expenditure (millions of US dollars)",137
"509","Cook Islands",2017,"Tourism expenditure (millions of US dollars)",153
"510","Costa Rica",1995,"Tourist/visitor arrivals (thousands)",785
"511","Costa Rica",2005,"Tourist/visitor arrivals (thousands)",1679
"512","Costa Rica",2010,"Tourist/visitor arrivals (thousands)",2100
"513","Costa Rica",2016,"Tourist/visitor arrivals (thousands)",2925
"514","Costa Rica",2017,"Tourist/visitor arrivals (thousands)",2960
"515","Costa Rica",2018,"Tourist/visitor arrivals (thousands)",3017
"516","Costa Rica",1995,"Tourism expenditure (millions of US dollars)",763
"517","Costa Rica",2005,"Tourism expenditure (millions of US dollars)",2008
"518","Costa Rica",2010,"Tourism expenditure (millions of US dollars)",2426
"519","Costa Rica",2016,"Tourism expenditure (millions of US dollars)",3776
"520","Costa Rica",2017,"Tourism expenditure (millions of US dollars)",3826
"521","Costa Rica",2018,"Tourism expenditure (millions of US dollars)",3995
"522","Côte d’Ivoire",2010,"Tourist/visitor arrivals (thousands)",252
"523","Côte d’Ivoire",2016,"Tourist/visitor arrivals (thousands)",1583
"524","Côte d’Ivoire",2017,"Tourist/visitor arrivals (thousands)",1800
"525","Côte d’Ivoire",2018,"Tourist/visitor arrivals (thousands)",1965
"526","Côte d’Ivoire",1995,"Tourism expenditure (millions of US dollars)",103
"527","Côte d’Ivoire",2005,"Tourism expenditure (millions of US dollars)",93
"528","Côte d’Ivoire",2010,"Tourism expenditure (millions of US dollars)",213
"529","Côte d’Ivoire",2016,"Tourism expenditure (millions of US dollars)",477
"530","Côte d’Ivoire",2017,"Tourism expenditure (millions of US dollars)",508
"531","Croatia",1995,"Tourist/visitor arrivals (thousands)",1485
"532","Croatia",2005,"Tourist/visitor arrivals (thousands)",7743
"533","Croatia",2010,"Tourist/visitor arrivals (thousands)",9111
"534","Croatia",2016,"Tourist/visitor arrivals (thousands)",13809
"535","Croatia",2017,"Tourist/visitor arrivals (thousands)",15593
"536","Croatia",2018,"Tourist/visitor arrivals (thousands)",16645
"537","Croatia",2005,"Tourism expenditure (millions of US dollars)",7625
"538","Croatia",2010,"Tourism expenditure (millions of US dollars)",8299
"539","Croatia",2016,"Tourism expenditure (millions of US dollars)",9820
"540","Croatia",2017,"Tourism expenditure (millions of US dollars)",11128
"541","Croatia",2018,"Tourism expenditure (millions of US dollars)",12075
"542","Cuba",1995,"Tourist/visitor arrivals (thousands)",742
"543","Cuba",2005,"Tourist/visitor arrivals (thousands)",2261
"544","Cuba",2010,"Tourist/visitor arrivals (thousands)",2507
"545","Cuba",2016,"Tourist/visitor arrivals (thousands)",3975
"546","Cuba",2017,"Tourist/visitor arrivals (thousands)",4594
"547","Cuba",2018,"Tourist/visitor arrivals (thousands)",4684
"548","Cuba",1995,"Tourism expenditure (millions of US dollars)",1100
"549","Cuba",2005,"Tourism expenditure (millions of US dollars)",2591
"550","Cuba",2010,"Tourism expenditure (millions of US dollars)",2396
"551","Cuba",2016,"Tourism expenditure (millions of US dollars)",3069
"552","Cuba",2017,"Tourism expenditure (millions of US dollars)",3302
"553","Cuba",2018,"Tourism expenditure (millions of US dollars)",2969
"554","Curaçao",1995,"Tourist/visitor arrivals (thousands)",224
"555","Curaçao",2005,"Tourist/visitor arrivals (thousands)",222
"556","Curaçao",2010,"Tourist/visitor arrivals (thousands)",342
"557","Curaçao",2016,"Tourist/visitor arrivals (thousands)",441
"558","Curaçao",2017,"Tourist/visitor arrivals (thousands)",399
"559","Curaçao",2018,"Tourist/visitor arrivals (thousands)",432
"560","Curaçao",1995,"Tourism expenditure (millions of US dollars)",175
"561","Curaçao",2005,"Tourism expenditure (millions of US dollars)",244
"562","Curaçao",2010,"Tourism expenditure (millions of US dollars)",438
"563","Curaçao",2016,"Tourism expenditure (millions of US dollars)",644
"564","Curaçao",2017,"Tourism expenditure (millions of US dollars)",572
"565","Curaçao",2018,"Tourism expenditure (millions of US dollars)",605
"566","Cyprus",1995,"Tourist/visitor arrivals (thousands)",2100
"567","Cyprus",2005,"Tourist/visitor arrivals (thousands)",2470
"568","Cyprus",2010,"Tourist/visitor arrivals (thousands)",2173
"569","Cyprus",2016,"Tourist/visitor arrivals (thousands)",3187
"570","Cyprus",2017,"Tourist/visitor arrivals (thousands)",3652
"571","Cyprus",2018,"Tourist/visitor arrivals (thousands)",3939
"572","Cyprus",1995,"Tourism expenditure (millions of US dollars)",2018.0443
"573","Cyprus",2005,"Tourism expenditure (millions of US dollars)",2644
"574","Cyprus",2010,"Tourism expenditure (millions of US dollars)",2137
"575","Cyprus",2016,"Tourism expenditure (millions of US dollars)",2870
"576","Cyprus",2017,"Tourism expenditure (millions of US dollars)",3274
"577","Cyprus",2018,"Tourism expenditure (millions of US dollars)",3449
"578","Czechia",2005,"Tourist/visitor arrivals (thousands)",9404
"579","Czechia",2010,"Tourist/visitor arrivals (thousands)",8629
"580","Czechia",2016,"Tourist/visitor arrivals (thousands)",12808
"581","Czechia",2017,"Tourist/visitor arrivals (thousands)",13665
"582","Czechia",2005,"Tourism expenditure (millions of US dollars)",5772
"583","Czechia",2010,"Tourism expenditure (millions of US dollars)",8068
"584","Czechia",2016,"Tourism expenditure (millions of US dollars)",7041
"585","Czechia",2017,"Tourism expenditure (millions of US dollars)",7695
"586","Czechia",2018,"Tourism expenditure (millions of US dollars)",8291
"587","Dem. Rep. of the Congo",1995,"Tourist/visitor arrivals (thousands)",35
"588","Dem. Rep. of the Congo",2005,"Tourist/visitor arrivals (thousands)",61
"589","Dem. Rep. of the Congo",2010,"Tourist/visitor arrivals (thousands)",81
"590","Dem. Rep. of the Congo",2016,"Tourist/visitor arrivals (thousands)",351
"591","Dem. Rep. of the Congo",2005,"Tourism expenditure (millions of US dollars)",3.2
"592","Dem. Rep. of the Congo",2010,"Tourism expenditure (millions of US dollars)",10.7
"593","Dem. Rep. of the Congo",2016,"Tourism expenditure (millions of US dollars)",4.3
"594","Dem. Rep. of the Congo",2017,"Tourism expenditure (millions of US dollars)",6
"595","Dem. Rep. of the Congo",2018,"Tourism expenditure (millions of US dollars)",60.5
"596","Denmark",2005,"Tourist/visitor arrivals (thousands)",9587
"597","Denmark",2010,"Tourist/visitor arrivals (thousands)",9425
"598","Denmark",2016,"Tourist/visitor arrivals (thousands)",10781
"599","Denmark",2017,"Tourist/visitor arrivals (thousands)",12426
"600","Denmark",2018,"Tourist/visitor arrivals (thousands)",12749
"601","Denmark",1995,"Tourism expenditure (millions of US dollars)",3691
"602","Denmark",2005,"Tourism expenditure (millions of US dollars)",5293
"603","Denmark",2010,"Tourism expenditure (millions of US dollars)",5704
"604","Denmark",2016,"Tourism expenditure (millions of US dollars)",7494
"605","Denmark",2017,"Tourism expenditure (millions of US dollars)",8508
"606","Denmark",2018,"Tourism expenditure (millions of US dollars)",9097
"607","Djibouti",1995,"Tourist/visitor arrivals (thousands)",21
"608","Djibouti",2005,"Tourist/visitor arrivals (thousands)",30.2
"609","Djibouti",2010,"Tourist/visitor arrivals (thousands)",51
"610","Djibouti",1995,"Tourism expenditure (millions of US dollars)",5.4
"611","Djibouti",2005,"Tourism expenditure (millions of US dollars)",7.1
"612","Djibouti",2010,"Tourism expenditure (millions of US dollars)",18
"613","Djibouti",2016,"Tourism expenditure (millions of US dollars)",33.5
"614","Djibouti",2017,"Tourism expenditure (millions of US dollars)",36.2
"615","Djibouti",2018,"Tourism expenditure (millions of US dollars)",57
"616","Dominica",1995,"Tourist/visitor arrivals (thousands)",60
"617","Dominica",2005,"Tourist/visitor arrivals (thousands)",79
"618","Dominica",2010,"Tourist/visitor arrivals (thousands)",77
"619","Dominica",2016,"Tourist/visitor arrivals (thousands)",78
"620","Dominica",2017,"Tourist/visitor arrivals (thousands)",72
"621","Dominica",2018,"Tourist/visitor arrivals (thousands)",63
"622","Dominica",1995,"Tourism expenditure (millions of US dollars)",42
"623","Dominica",2005,"Tourism expenditure (millions of US dollars)",57
"624","Dominica",2010,"Tourism expenditure (millions of US dollars)",94
"625","Dominica",2016,"Tourism expenditure (millions of US dollars)",198
"626","Dominica",2017,"Tourism expenditure (millions of US dollars)",161
"627","Dominica",2018,"Tourism expenditure (millions of US dollars)",111
"628","Dominican Republic",1995,"Tourist/visitor arrivals (thousands)",1776
"629","Dominican Republic",2005,"Tourist/visitor arrivals (thousands)",3691
"630","Dominican Republic",2010,"Tourist/visitor arrivals (thousands)",4125
"631","Dominican Republic",2016,"Tourist/visitor arrivals (thousands)",5959.3
"632","Dominican Republic",2017,"Tourist/visitor arrivals (thousands)",6188
"633","Dominican Republic",2018,"Tourist/visitor arrivals (thousands)",6569
"634","Dominican Republic",1995,"Tourism expenditure (millions of US dollars)",1571
"635","Dominican Republic",2005,"Tourism expenditure (millions of US dollars)",3518
"636","Dominican Republic",2010,"Tourism expenditure (millions of US dollars)",4162
"637","Dominican Republic",2016,"Tourism expenditure (millions of US dollars)",6720
"638","Dominican Republic",2017,"Tourism expenditure (millions of US dollars)",7184
"639","Dominican Republic",2018,"Tourism expenditure (millions of US dollars)",7561
"640","Ecuador",1995,"Tourist/visitor arrivals (thousands)",440
"641","Ecuador",2005,"Tourist/visitor arrivals (thousands)",860
"642","Ecuador",2010,"Tourist/visitor arrivals (thousands)",1047
"643","Ecuador",2016,"Tourist/visitor arrivals (thousands)",1569
"644","Ecuador",2017,"Tourist/visitor arrivals (thousands)",1806
"645","Ecuador",2018,"Tourist/visitor arrivals (thousands)",2535
"646","Ecuador",1995,"Tourism expenditure (millions of US dollars)",315
"647","Ecuador",2005,"Tourism expenditure (millions of US dollars)",488
"648","Ecuador",2010,"Tourism expenditure (millions of US dollars)",786
"649","Ecuador",2016,"Tourism expenditure (millions of US dollars)",1450
"650","Ecuador",2017,"Tourism expenditure (millions of US dollars)",1554
"651","Ecuador",2018,"Tourism expenditure (millions of US dollars)",1878
"652","Egypt",1995,"Tourist/visitor arrivals (thousands)",2871
"653","Egypt",2005,"Tourist/visitor arrivals (thousands)",8244
"654","Egypt",2010,"Tourist/visitor arrivals (thousands)",14051
"655","Egypt",2016,"Tourist/visitor arrivals (thousands)",5258
"656","Egypt",2017,"Tourist/visitor arrivals (thousands)",8157
"657","Egypt",2018,"Tourist/visitor arrivals (thousands)",11196
"658","Egypt",1995,"Tourism expenditure (millions of US dollars)",2954
"659","Egypt",2005,"Tourism expenditure (millions of US dollars)",7206
"660","Egypt",2010,"Tourism expenditure (millions of US dollars)",13633
"661","Egypt",2016,"Tourism expenditure (millions of US dollars)",3306
"662","Egypt",2017,"Tourism expenditure (millions of US dollars)",8636
"663","Egypt",2018,"Tourism expenditure (millions of US dollars)",12704
"664","El Salvador",1995,"Tourist/visitor arrivals (thousands)",235
"665","El Salvador",2005,"Tourist/visitor arrivals (thousands)",1127
"666","El Salvador",2010,"Tourist/visitor arrivals (thousands)",1150
"667","El Salvador",2016,"Tourist/visitor arrivals (thousands)",1434
"668","El Salvador",2017,"Tourist/visitor arrivals (thousands)",1556
"669","El Salvador",2018,"Tourist/visitor arrivals (thousands)",1677.3
"670","El Salvador",1995,"Tourism expenditure (millions of US dollars)",152
"671","El Salvador",2005,"Tourism expenditure (millions of US dollars)",656
"672","El Salvador",2010,"Tourism expenditure (millions of US dollars)",646
"673","El Salvador",2016,"Tourism expenditure (millions of US dollars)",1161
"674","El Salvador",2017,"Tourism expenditure (millions of US dollars)",1227
"675","El Salvador",2018,"Tourism expenditure (millions of US dollars)",1370
"676","Equatorial Guinea",1995,"Tourism expenditure (millions of US dollars)",1
"677","Eritrea",1995,"Tourist/visitor arrivals (thousands)",315
"678","Eritrea",2005,"Tourist/visitor arrivals (thousands)",83
"679","Eritrea",2010,"Tourist/visitor arrivals (thousands)",84
"680","Eritrea",2016,"Tourist/visitor arrivals (thousands)",142
"681","Eritrea",1995,"Tourism expenditure (millions of US dollars)",58
"682","Eritrea",2005,"Tourism expenditure (millions of US dollars)",66
"683","Eritrea",2016,"Tourism expenditure (millions of US dollars)",48
"684","Estonia",1995,"Tourist/visitor arrivals (thousands)",530
"685","Estonia",2005,"Tourist/visitor arrivals (thousands)",1917
"686","Estonia",2010,"Tourist/visitor arrivals (thousands)",2511
"687","Estonia",2016,"Tourist/visitor arrivals (thousands)",3131
"688","Estonia",2017,"Tourist/visitor arrivals (thousands)",3244
"689","Estonia",2018,"Tourist/visitor arrivals (thousands)",3234
"690","Estonia",1995,"Tourism expenditure (millions of US dollars)",452
"691","Estonia",2005,"Tourism expenditure (millions of US dollars)",1229
"692","Estonia",2016,"Tourism expenditure (millions of US dollars)",1916
"693","Estonia",2017,"Tourism expenditure (millions of US dollars)",2126
"694","Estonia",2018,"Tourism expenditure (millions of US dollars)",2332
"695","Eswatini",1995,"Tourist/visitor arrivals (thousands)",300
"696","Eswatini",2005,"Tourist/visitor arrivals (thousands)",837
"697","Eswatini",2010,"Tourist/visitor arrivals (thousands)",868
"698","Eswatini",2016,"Tourist/visitor arrivals (thousands)",947
"699","Eswatini",2017,"Tourist/visitor arrivals (thousands)",921
"700","Eswatini",2018,"Tourist/visitor arrivals (thousands)",782
"701","Eswatini",1995,"Tourism expenditure (millions of US dollars)",54
"702","Eswatini",2005,"Tourism expenditure (millions of US dollars)",77.3
"703","Eswatini",2010,"Tourism expenditure (millions of US dollars)",51.4
"704","Eswatini",2016,"Tourism expenditure (millions of US dollars)",13.2
"705","Eswatini",2017,"Tourism expenditure (millions of US dollars)",13.2
"706","Eswatini",2018,"Tourism expenditure (millions of US dollars)",16.4
"707","Ethiopia",1995,"Tourist/visitor arrivals (thousands)",103
"708","Ethiopia",2005,"Tourist/visitor arrivals (thousands)",227
"709","Ethiopia",2010,"Tourist/visitor arrivals (thousands)",468
"710","Ethiopia",2016,"Tourist/visitor arrivals (thousands)",871
"711","Ethiopia",2017,"Tourist/visitor arrivals (thousands)",933
"712","Ethiopia",2018,"Tourist/visitor arrivals (thousands)",849
"713","Ethiopia",1995,"Tourism expenditure (millions of US dollars)",177
"714","Ethiopia",2005,"Tourism expenditure (millions of US dollars)",533
"715","Ethiopia",2010,"Tourism expenditure (millions of US dollars)",1434
"716","Ethiopia",2016,"Tourism expenditure (millions of US dollars)",2138
"717","Ethiopia",2017,"Tourism expenditure (millions of US dollars)",2505
"718","Ethiopia",2018,"Tourism expenditure (millions of US dollars)",3548
"719","Fiji",1995,"Tourist/visitor arrivals (thousands)",318
"720","Fiji",2005,"Tourist/visitor arrivals (thousands)",545
"721","Fiji",2010,"Tourist/visitor arrivals (thousands)",632
"722","Fiji",2016,"Tourist/visitor arrivals (thousands)",792
"723","Fiji",2017,"Tourist/visitor arrivals (thousands)",843
"724","Fiji",2018,"Tourist/visitor arrivals (thousands)",870
"725","Fiji",1995,"Tourism expenditure (millions of US dollars)",369
"726","Fiji",2005,"Tourism expenditure (millions of US dollars)",722
"727","Fiji",2010,"Tourism expenditure (millions of US dollars)",825
"728","Fiji",2016,"Tourism expenditure (millions of US dollars)",1149
"729","Fiji",2017,"Tourism expenditure (millions of US dollars)",1243
"730","Fiji",2018,"Tourism expenditure (millions of US dollars)",1370
"731","Finland",1995,"Tourist/visitor arrivals (thousands)",1779
"732","Finland",2005,"Tourist/visitor arrivals (thousands)",2080
"733","Finland",2010,"Tourist/visitor arrivals (thousands)",2319
"734","Finland",2016,"Tourist/visitor arrivals (thousands)",2789
"735","Finland",2017,"Tourist/visitor arrivals (thousands)",3180
"736","Finland",2018,"Tourist/visitor arrivals (thousands)",3224
"737","Finland",1995,"Tourism expenditure (millions of US dollars)",2383
"738","Finland",2005,"Tourism expenditure (millions of US dollars)",3069
"739","Finland",2010,"Tourism expenditure (millions of US dollars)",4497
"740","Finland",2016,"Tourism expenditure (millions of US dollars)",4016
"741","Finland",2017,"Tourism expenditure (millions of US dollars)",5207
"742","Finland",2018,"Tourism expenditure (millions of US dollars)",5663
"743","France",1995,"Tourist/visitor arrivals (thousands)",60033
"744","France",2005,"Tourist/visitor arrivals (thousands)",74988
"745","France",2010,"Tourist/visitor arrivals (thousands)",76647
"746","France",2016,"Tourist/visitor arrivals (thousands)",82682
"747","France",2017,"Tourist/visitor arrivals (thousands)",86758
"748","France",2018,"Tourist/visitor arrivals (thousands)",89322
"749","France",1995,"Tourism expenditure (millions of US dollars)",31295
"750","France",2005,"Tourism expenditure (millions of US dollars)",52126
"751","France",2010,"Tourism expenditure (millions of US dollars)",56178
"752","France",2016,"Tourism expenditure (millions of US dollars)",63557
"753","France",2017,"Tourism expenditure (millions of US dollars)",67936
"754","France",2018,"Tourism expenditure (millions of US dollars)",73125
"755","French Guiana",2005,"Tourist/visitor arrivals (thousands)",95
"756","French Guiana",2016,"Tourist/visitor arrivals (thousands)",96
"757","French Guiana",2017,"Tourist/visitor arrivals (thousands)",111
"758","French Guiana",2005,"Tourism expenditure (millions of US dollars)",44
"759","French Polynesia",1995,"Tourist/visitor arrivals (thousands)",172
"760","French Polynesia",2005,"Tourist/visitor arrivals (thousands)",208
"761","French Polynesia",2010,"Tourist/visitor arrivals (thousands)",154
"762","French Polynesia",2016,"Tourist/visitor arrivals (thousands)",192
"763","French Polynesia",2017,"Tourist/visitor arrivals (thousands)",199
"764","French Polynesia",2018,"Tourist/visitor arrivals (thousands)",216.3
"765","French Polynesia",1995,"Tourism expenditure (millions of US dollars)",326
"766","French Polynesia",2005,"Tourism expenditure (millions of US dollars)",759
"767","French Polynesia",2010,"Tourism expenditure (millions of US dollars)",630
"768","French Polynesia",2016,"Tourism expenditure (millions of US dollars)",782
"769","Gabon",1995,"Tourist/visitor arrivals (thousands)",125
"770","Gabon",2005,"Tourist/visitor arrivals (thousands)",269
"771","Gabon",1995,"Tourism expenditure (millions of US dollars)",94
"772","Gabon",2005,"Tourism expenditure (millions of US dollars)",13
"773","Gabon",2010,"Tourism expenditure (millions of US dollars)",89
"774","Gabon",2016,"Tourism expenditure (millions of US dollars)",28.7
"775","Gambia",1995,"Tourist/visitor arrivals (thousands)",45
"776","Gambia",2005,"Tourist/visitor arrivals (thousands)",108
"777","Gambia",2010,"Tourist/visitor arrivals (thousands)",91
"778","Gambia",2016,"Tourist/visitor arrivals (thousands)",450
"779","Gambia",2017,"Tourist/visitor arrivals (thousands)",522
"780","Gambia",2018,"Tourist/visitor arrivals (thousands)",552
"781","Gambia",2005,"Tourism expenditure (millions of US dollars)",59
"782","Gambia",2010,"Tourism expenditure (millions of US dollars)",80
"783","Gambia",2016,"Tourism expenditure (millions of US dollars)",120
"784","Gambia",2017,"Tourism expenditure (millions of US dollars)",116
"785","Gambia",2018,"Tourism expenditure (millions of US dollars)",168
"786","Georgia",2010,"Tourist/visitor arrivals (thousands)",1067
"787","Georgia",2016,"Tourist/visitor arrivals (thousands)",3297
"788","Georgia",2017,"Tourist/visitor arrivals (thousands)",4069.4
"789","Georgia",2018,"Tourist/visitor arrivals (thousands)",4757
"790","Georgia",2005,"Tourism expenditure (millions of US dollars)",287
"791","Georgia",2010,"Tourism expenditure (millions of US dollars)",737
"792","Georgia",2016,"Tourism expenditure (millions of US dollars)",2315
"793","Georgia",2017,"Tourism expenditure (millions of US dollars)",2971
"794","Georgia",2018,"Tourism expenditure (millions of US dollars)",3518
"795","Germany",1995,"Tourist/visitor arrivals (thousands)",14847
"796","Germany",2005,"Tourist/visitor arrivals (thousands)",21500
"797","Germany",2010,"Tourist/visitor arrivals (thousands)",26875
"798","Germany",2016,"Tourist/visitor arrivals (thousands)",35555
"799","Germany",2017,"Tourist/visitor arrivals (thousands)",37452
"800","Germany",2018,"Tourist/visitor arrivals (thousands)",38881
"801","Germany",1995,"Tourism expenditure (millions of US dollars)",24053
"802","Germany",2005,"Tourism expenditure (millions of US dollars)",40518
"803","Germany",2010,"Tourism expenditure (millions of US dollars)",49116
"804","Germany",2016,"Tourism expenditure (millions of US dollars)",52229
"805","Germany",2017,"Tourism expenditure (millions of US dollars)",56330
"806","Germany",2018,"Tourism expenditure (millions of US dollars)",60260
"807","Ghana",1995,"Tourist/visitor arrivals (thousands)",286
"808","Ghana",2005,"Tourist/visitor arrivals (thousands)",429
"809","Ghana",2010,"Tourist/visitor arrivals (thousands)",931
"810","Ghana",1995,"Tourism expenditure (millions of US dollars)",30
"811","Ghana",2005,"Tourism expenditure (millions of US dollars)",867
"812","Ghana",2010,"Tourism expenditure (millions of US dollars)",706
"813","Ghana",2016,"Tourism expenditure (millions of US dollars)",952
"814","Ghana",2017,"Tourism expenditure (millions of US dollars)",919
"815","Ghana",2018,"Tourism expenditure (millions of US dollars)",996
"816","Greece",1995,"Tourist/visitor arrivals (thousands)",10130
"817","Greece",2005,"Tourist/visitor arrivals (thousands)",14765
"818","Greece",2010,"Tourist/visitor arrivals (thousands)",15007
"819","Greece",2016,"Tourist/visitor arrivals (thousands)",24799
"820","Greece",2017,"Tourist/visitor arrivals (thousands)",27194
"821","Greece",2018,"Tourist/visitor arrivals (thousands)",30123
"822","Greece",1995,"Tourism expenditure (millions of US dollars)",4182
"823","Greece",2005,"Tourism expenditure (millions of US dollars)",13455
"824","Greece",2010,"Tourism expenditure (millions of US dollars)",13857
"825","Greece",2016,"Tourism expenditure (millions of US dollars)",16811
"826","Greece",2017,"Tourism expenditure (millions of US dollars)",19139
"827","Greece",2018,"Tourism expenditure (millions of US dollars)",21594
"828","Grenada",1995,"Tourist/visitor arrivals (thousands)",108
"829","Grenada",2005,"Tourist/visitor arrivals (thousands)",99
